Field Name,Description,Type,Field Value
QCurrentChargesDetails,Please specify details,text,I am currently facing criminal charges.

,,


QEmployeeHistoryRe-0-QNZBusinessNumber,New Zealand Business Number (NZBN),text,
QEmployeeHistoryRe-0-QEHEmployer2,Company/Organization,text,Telsa
QEmployeeHistoryRe-0-QTypeWork,Type of Work/Occupation/Job Title,text,Software Engineer
QEmployeeHistoryRe-0-QEHPartialStartDate,Start Date,text(mm/yyyy),03/2023
QEmployeeHistoryRe-0-QEHPartialEndDate,End Date,text(mm/yyyy),04/2023
QEmployeeHistoryRe-0-QEHLocationCountry2,Country/Territory,text,New Zealand
QEmployeeHistoryRe-0-QEHLocationState2,State/Province/Region,text,Auckland
QEmployeeHistoryRe-0-QEHLocationTown,Town/City,text,Auckland
QEmployeeHistoryRe-0-QEHCurrentEmployer2,Current Employer,Yes/No,Yes

,,


QNZContacts,Do you have any contacts in New Zealand?,text (Yes/No),Yes
FamilyName,enter your contact family name,text,Smith
GivenNames,enter your contact given name,text,Jacob
RelationshipValue,enter your relationship with contact,text(Other/Friend),Family
DOBDay,enter contact's date of birth,int,1
DOBMonth,enter contact's date of birth month,text,April
DOBYear,enter contact's date of birth year,text,1908
Address,enter contact's address,text,123 Main Street
TelephoneCC,enter contact's telephone country code,text,1
TelephoneAC,enter contact's telephone country Area code,12
TelephoneNum,enter contact's telephone number,text,555-1234
MobileTelephoneCC,enter contact's telephone country Area code,12
MobileTelephoneNum,enter contact's telephone number,text,555-1234
Email,enter contact's email address,text,jacob@example.com

,,,

,,,

QApplyOnBehalf, Are you completing this form on behalf of someone else?*, text(Yes/No),Yes
QApplyOnBehalfType, In what capacity are you completing this form, text, Licensed immigration adviser
QLicenceDetails, What type of licence do you hold?, text, Full
QLimitedDetails, Provide the conditions of your licence as specified in the register, text,
QLicenceNumber, Provide your licence number, text,
QAssistingPersonLastName, Family/last name, text,
QAssistingPersonFirsttName, Given/first name(s), text,
QNZBusinessNumber, New Zealand Business Number, text,
QAssistingPersonCompanyName, Company name (if applicable), text,23
QAssistingPersonAddress, Address, text,234 street
QAssistingPersonTelephone_cc, Telephone (landline), text(country code),2345
QAssistingPersonTelephone_ac,Telephone (landline), text(ac),23456
QAssistingPersonTelephone_num,Telephone (landline), text(num),23456
QAssistingPersonMobile_num,Mobile number (num), text,34567
QAssistingPersonMobile_cc,Mobile number (cc), text,4567
QAssistingPersonEmail, Email, text,sure@gmail.com
